Element,Attribute
ESP-142,1
ESP-1420,3
ESP-1421,12
ESP-1422,1
ESP-1423,1
ESP-1424,1
ESP-1425,1
ESP-1426,1
ESP-1427,1
ESP-1428,1
ESP-1429,1
ESP-143,1
ESP-1430,1
ESP-1431,1
ESP-1432,2
ESP-1433,1
ESP-1434,10
ESP-1435,1
ESP-1436,3
ESP-1437,3
ESP-1438,4
ESP-1439,1
ESP-144,1
ESP-1440,2
ESP-1441,1
ESP-1442,1
ESP-1443,1
ESP-1444,1
ESP-1445,1
ESP-1446,1
ESP-1447,1
ESP-1448,1
ESP-1449,1
ESP-145,1
ESP-1450,1
ESP-1451,1
ESP-1452,1
ESP-1453,3
ESP-1454,3
ESP-1455,1
ESP-1456,1
ESP-1457,1
ESP-1458,1
ESP-1459,10
ESP-146,1
ESP-1460,1
ESP-1461,1
ESP-1462,1
ESP-1463,2
ESP-1464,1
ESP-1465,1
ESP-1466,1
ESP-1467,1
ESP-1468,1
ESP-1469,1
ESP-147,3
ESP-1470,1
ESP-1471,1
ESP-1472,1
ESP-1473,1
ESP-1474,1
ESP-1475,1
ESP-1476,1
ESP-1477,1
ESP-1478,4
ESP-1479,1
ESP-148,1
ESP-1480,2
ESP-1481,1
ESP-1482,1
ESP-1483,1
ESP-1484,3
ESP-1485,1
ESP-1486,1
ESP-1487,1
ESP-1488,1
ESP-1489,2
ESP-149,1
ESP-1490,1
ESP-1491,1
ESP-1492,1
ESP-1493,1
ESP-1494,1
ESP-1495,1
ESP-1496,1
ESP-1497,5
ESP-1498,1
ESP-1499,1
ESP-150,1
ESP-1500,1
ESP-1501,1
ESP-1502,2
ESP-1503,1
ESP-1504,1
ESP-1505,2
ESP-1506,1
ESP-1507,1
ESP-1508,1
ESP-1509,2
ESP-151,1
ESP-1510,1
ESP-1511,2
ESP-1512,1
ESP-1513,7
ESP-1514,1
ESP-1515,1
ESP-1516,1
ESP-1517,2
ESP-1518,1
ESP-1519,8
ESP-152,2
ESP-1520,8
ESP-1522,3
ESP-1523,15
ESP-1525,55
ESP-1526,37
ESP-1527,1
ESP-1528,1
ESP-1529,14
ESP-153,1
ESP-1530,6
ESP-1531,2
ESP-1532,1
ESP-1533,2
ESP-1534,5
ESP-1535,7
ESP-1536,2
ESP-1537,3
ESP-1538,18
ESP-1539,1
ESP-154,3
ESP-1540,1
ESP-1541,1
ESP-1542,1
ESP-1543,1
ESP-1544,1
ESP-1545,1
ESP-1546,2
ESP-1547,1
ESP-1548,1
ESP-1549,17
ESP-155,2
ESP-1550,3
ESP-1551,1
ESP-1552,1
ESP-1553,1
ESP-1554,1
ESP-1555,1
ESP-1556,1
ESP-1557,1
ESP-1558,1
ESP-1559,1
ESP-156,1
ESP-1560,1
ESP-1561,1
ESP-1562,1
ESP-1563,1
ESP-1564,1
ESP-1565,1
ESP-1566,1
ESP-1567,1
ESP-1568,1
ESP-1569,1
ESP-157,2
ESP-1570,1
ESP-1571,1
ESP-1572,19
ESP-1573,1
ESP-1574,1
ESP-1575,1
ESP-1576,1
ESP-1577,3
ESP-1578,236
ESP-1579,1
ESP-158,2
ESP-1580,1
ESP-1581,1
ESP-1582,3
ESP-1583,1
ESP-1584,1
ESP-1585,5
ESP-1586,7
ESP-1587,1
ESP-1588,1
ESP-1589,1
ESP-159,3
ESP-1590,1
ESP-1591,1
ESP-1592,7
ESP-1593,2
ESP-1594,1
ESP-1595,1
ESP-1596,4
ESP-1597,1
ESP-1598,1
ESP-1599,2
ESP-16,1
ESP-160,1
ESP-1600,1
ESP-1601,1
ESP-1602,1
ESP-1603,1
ESP-1604,1
ESP-1605,3
ESP-1606,3
ESP-1607,6
ESP-1608,1
ESP-1609,1
ESP-161,1
ESP-1610,1
ESP-1611,1
ESP-1612,2
ESP-1613,4
ESP-1614,1
ESP-1615,1
ESP-1616,1
ESP-1617,1
ESP-1618,1
ESP-1619,1
ESP-162,3
ESP-1620,1
ESP-1621,1
ESP-1622,1
ESP-1623,1
ESP-1624,1
ESP-1625,1
ESP-1626,1
ESP-1627,1
ESP-1628,1
ESP-1629,1
ESP-163,1
ESP-1630,1
ESP-1631,1
ESP-1632,1
ESP-1633,1
ESP-1634,1
ESP-1635,1
ESP-1636,1
ESP-1637,1
ESP-1638,1
ESP-1639,1
ESP-164,5
ESP-1640,1
ESP-1641,22
ESP-1642,8
ESP-1643,1
ESP-1644,1
ESP-1645,1
ESP-1646,5
ESP-1647,2
ESP-1648,3
ESP-1649,1
ESP-165,2
ESP-1650,1
ESP-1651,1
ESP-1652,1
ESP-1653,1
ESP-1654,5
ESP-1655,1
ESP-1656,1
ESP-1657,1
ESP-1658,3
ESP-1659,1
ESP-166,1
ESP-1660,1
ESP-1661,1
ESP-1662,1
ESP-1663,2
ESP-1664,2
ESP-1665,1
ESP-1666,1
ESP-1667,2
ESP-1668,1
ESP-1669,1
ESP-167,2
ESP-1670,1
ESP-1671,1
ESP-1672,1
ESP-1673,1
ESP-1674,5
ESP-1675,1
ESP-1676,5
ESP-1677,45
ESP-1678,3
ESP-1679,1
ESP-168,1
ESP-1680,5
ESP-1681,1
ESP-1683,4
ESP-1684,9
ESP-1685,1368
ESP-1686,3
ESP-1687,4
ESP-1688,1
ESP-1689,1
ESP-169,1
ESP-1690,1
ESP-1691,1
ESP-1692,2
ESP-1693,2
ESP-1694,1
ESP-1695,1
ESP-1696,1
ESP-1697,1
ESP-1698,13
ESP-1699,1
ESP-170,1
ESP-1700,63
ESP-1701,1
ESP-1702,1
ESP-1703,1
ESP-1704,1
ESP-1706,65
ESP-1707,1
ESP-1708,1
ESP-1709,6
ESP-171,1
ESP-1710,2
ESP-1711,1
ESP-1712,1
ESP-1713,1
ESP-1714,1
ESP-1715,12
ESP-1716,23
ESP-1717,6
ESP-1718,3
ESP-1719,1
ESP-172,1
ESP-1720,1
ESP-1721,1
ESP-1722,1
ESP-1723,1
ESP-1724,2
ESP-1725,1
ESP-1726,4
ESP-1727,1
ESP-1728,1
ESP-1729,2
ESP-173,2
ESP-1730,1
ESP-1731,1
ESP-1732,1
ESP-1733,3
ESP-1734,1
ESP-1735,1
ESP-1736,1
ESP-1737,2
ESP-1738,1
ESP-1739,2
ESP-174,1
ESP-1740,1
ESP-1741,1
ESP-1742,2
ESP-1744,6
ESP-1745,30
ESP-1746,10
ESP-1747,1
ESP-1748,1
ESP-1749,1
ESP-175,3
ESP-1750,1
ESP-1751,1
ESP-1752,2
ESP-1753,1
ESP-1754,2
ESP-1755,2
ESP-1756,1
ESP-1757,1
ESP-1758,1
ESP-1759,1
ESP-176,1
ESP-1760,1
ESP-1761,50
ESP-1762,1
ESP-1763,1
ESP-1764,1
ESP-1765,2
ESP-1766,111
ESP-1767,1
ESP-1768,10
ESP-1769,1
ESP-177,2
ESP-1770,2
ESP-1771,2
ESP-1772,3
ESP-1773,1
ESP-1774,3
ESP-1775,1
ESP-1776,1
ESP-1777,2
ESP-1778,3
ESP-1779,1
ESP-178,1
ESP-1780,1
ESP-1781,1
ESP-1782,2
ESP-1783,11
ESP-1784,2
ESP-1785,3
ESP-1786,1
ESP-1787,1
ESP-1788,1
ESP-1789,3
ESP-179,1
ESP-1790,1
