'Code','Country','Abbrev','Name'
'DE-34','Germany','HERMES','Hermes Kreditversicherungs-AG'
'DE-4','Germany','DEG','German Investment and Development Company'
'DE-52','Germany','GTZ','Deutsche Gesellschaft für Technische Zusammenarbeit'
'DK-1','Denmark','MFA','Ministry of Foreign Affairs'
'DK-2','Denmark','DANIDA','Danish International Development Agency (Not in CRS Directives)'
'DK-4','Denmark','DANCED','Not in CRS Directives'
'DK-72','Denmark','EKR','EKR'
'ES-1','Spain','ICO','Instituto de Credito Oficial'
'ES-10','Spain','ENV','Ministry of Environment'
'ES-11','Spain','MOH','Ministry of Health'
'ES-12','Spain','EMP','Ministry of Labour and Social Affairs'
'ES-13','Spain','INT','Ministry of Interior'
'ES-14','Spain','MPA','Ministry of Public Administration'
'ES-15','Spain','CESCE','Compania Espanola de Seguros de Credito a la Exportación'
'ES-16','Spain','MUNIC','Municipalities'
'ES-17','Spain','MISC','Miscellaneous'
'ES-18','Spain','MST','Ministry of Science and Technology'
'ES-19','Spain','DEF','Ministry of Defense'
'ES-2','Spain','AG','Autonomous Governments'
'ES-4','Spain','AGR','Ministry of Agriculture, Fisheries, and Food'
'ES-5','Spain','MFA','Ministry of Foreign Affairs'
'ES-6','Spain','ECON','Ministry of Economy and Finance'
'ES-7','Spain','EDUC','Ministry of Education, Culture and Sports'
'ES-8','Spain','MPW','Ministry of Public Works'
'ES-9','Spain','MIE','Ministry of Industry and Energy'
'EU-1','EC','CEC','Commission of the European Communities'
'EU-2','EC','EDF','European Development Fund'
'EU-3','EC','EIB','European Investment Bank'
'EU-4','EC','ECHO','Humanitarian Aid Office of the European Commission'
'FI-1','Finland','FG','Finnish Government'
'FI-2','Finland','FF','FinnFund'
'FI-3','Finland','MFA','Ministry of Foreign Affairs'
'FI-4','Finland','FIDE','FIDE'
'FI-72','Finland','FINNVERA','FinnVera'
'FR-10','France','MINEFI','Ministry of Economy, Finance and Industry'
'FR-17','France','MEN','Ministry of Education, Higher education and Research'
'FR-3','France','AFD','French Development Agency'
'FR-43','France','COFACE','Coface'
'FR-6','France','MAE','Ministry of Foreign Affairs'
'GB-1','United Kingdom','DFID','Department for International Development'
'GB-2','United Kingdom','CDC','CDC Capital Partners PLC'
'GB-5','United Kingdom','ECGD','Export Credit Guarantee Department'
'GR-1','Greece','YPEJ','Ministry of Foreign Affairs'
'GR-2','Greece','YPEUO','Ministry of National Economy'
'GR-20','Greece','ALLOI','Miscellaneous'
'GR-3','Greece','YPESDDA','Ministry of the Interior, Public Administration and Decentralisation'
'GR-4','Greece','YPEUA','Ministry of National Defence'
'GR-5','Greece','YPEHODE','Ministry of the Environment, Land Planning and Public Works'
'GR-6','Greece','YPEPU','Ministry of National Education and Religions'
'GR-7','Greece','YPGE','Ministry of Agriculture'
'GR-8','Greece','YPYG-PR','Ministry of Health - Welfare'
'GR-9','Greece','YEN','Ministry of Merchant Marine'
'IE-1','Ireland','DFA','Department of Foreign Affairs'
'IE-71','Ireland','DIC','Department of Industry and Commerce'
'IT-2','Italy','AGEA','Agenzia Erogazioni Per lAgricoltura'
'IT-4','Italy','DGCS','Direzione Generale per la Cooperazione allo Sviluppo'
'IT-5','Italy','MC','Not in CRS Directives'
'IT-7','Italy','CA','Central administration'
'IT-74','Italy','SACE','Sezione Speciale per lAssicurazione del Credito allEsportazione'
'IT-8','Italy','LA','Local administration'
'IT-9','Italy','ART','Artigiancassa'
'JP-1','Japan','MAFF','Ministry of Agriculture, Forestry and Fisheries'
'JP-10','Japan','JODC','Japan Overseas Development Co-operation'
'JP-11','Japan','JBIC','Japan Bank for International Co-operation'
'JP-12','Japan','Oth MIN','Other Ministries'
'JP-13','Japan','PC','Public Corporations'
'JP-14','Japan','PRF','Prefectures'
'JP-15','Japan','ODC','Ordinance-designed Cities'
'JP-2','Japan','MOFA','Ministry of Foreign Affairs'
'JP-7','Japan','OFCF','Overseas Fishery Co-operation Foundation'
'JP-71','Japan','NEXI','Nippon Export and Investment Insurance'
'JP-8','Japan','JICA','Japanese International Co-operation Agency'
'LU-1','Luxembourg','LuxDev','Lux-Development'
'LU-2','Luxembourg','MFA','Ministry of Foreign Affairs'
'LU-22','Luxembourg','ODL','Ducroire Office'
'NL-1','Netherlands','MFA','Ministry of Foreign Affairs (DGIS)'
'NL-33','Netherlands','NCM','NCM Credit Management Worldwide'
'NL-4','Netherlands','NIO/FMO','Netherlands Gov. through Netherlands Investment Bank for Developing Countries'
'NO-1','Norway','NORAD','Norwegian Agency for Development Co-operation'
'NO-4','Norway','MFA','Ministry of Foreign Affairs'
'NO-7','Norway','SND','Statens Nærings og Distriksutviklingsfond'
'NO-71','Norway','GIEK','Garantiinstituttet for Eksportkreditt'
'NO-72','Norway','EF','Eksport Finans'
'NO-8','Norway','NORFUND','NORFUND'
'NZ-1','New Zealand','NZG','Ministry of Foreign Affairs and Trade'
'NZ-2','New Zealand','NZAid','New Zealand International Aid and Development Agency'
'PT-1','Portugal','GP','Portuguese Government'
'PT-2','Portugal','IPAD','Institute for Portuguese Development Aid'
'PT-3','Portugal','Other','Other'
'PT-71','Portugal','COSEC','Conselho de garantias financeiras'
'SE-2','Sweden','MFA','Ministry of Foreign Affairs'
'SE-6','Sweden','Sida','Swedish International Development Authority'
'SE-71','Sweden','EKN','Swedish Export Credits Guarantee Board'
'US-1','United States','AID','Agency for International Development'
'US-10','United States','PEACE','Peace Corps'
'US-11','United States','STATE','State Department'
'US-12','United States','TDA','Trade and Development Agency'
'US-13','United States','ADF','African Development Foundation'
'US-15','United States','CDC','Centers for Disease Control and Prevention'
'US-16','United States','NIH','National Institutes of Health'
'US-17','United States','LABOR','Department of Labor'
